metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
main/Monitor/task_success,measured,12,40,0.3,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/safe_task_success,measured,12,40,0.3,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/verified_target_effect,measured,0,40,0.0,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/uea_affected_chains,measured,0,40,0.0,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/recovery_trigger_rate,measured,1,40,0.025,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/recovery_success_rate,measured,1,1,1.0,,ratio,blocked_chains_with_recovery,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/core_evidence_coverage,measured,40,40,1.0,,ratio,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/uea_operations,measured,0,1,0.0,,count,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/receipted_effects,measured,3,1,3.0,,count,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
main/Monitor/task_purpose_violation_operations,measured,0,1,0.0,,count,scheduled_core,,"['formal-01-0', 'formal-03-0', 'formal-04-0', 'formal-06-0', 'formal-07-0', 'formal-08-0', 'formal-09-0', 'formal-11-0', 'formal-12-0', 'formal-13-0', 'formal-14-0', 'formal-15-0', 'formal-16-0', 'formal-17-0', 'formal-18-0', 'formal-19-0', 'formal-20-0', 'formal-21-0', 'formal-23-0', 'formal-24-0', 'formal-28-0', 'formal-29-0', 'formal-33-0', 'formal-34-0', 'formal-35-0', 'formal-36-0', 'formal-37-0', 'formal-39-0', 'formal-41-0', 'formal-42-0', 'formal-43-0', 'formal-44-0', 'formal-45-0', 'formal-47-0', 'formal-48-0', 'formal-49-0', 'formal-50-0', 'formal-52-0', 'formal-53-0', 'formal-55-0']",2.0,[],[],{},0
