metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
legal_sensitive/All/provenance.decay.0,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.decay.2,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.decay.4,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.decay.6,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.f1,measured,40,40,1.0,,ratio,artifact_origin_memberships,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.precision,measured,20,20,1.0,,ratio,artifact_origin_memberships,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/provenance.recall,measured,20,20,1.0,,ratio,artifact_origin_memberships,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.decay.2,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.decay.4,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.decay.6,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.f1,measured,28,28,1.0,,ratio,artifact_origin_memberships,,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.precision,measured,14,14,1.0,,ratio,artifact_origin_memberships,,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Best Fixed/provenance.recall,measured,14,14,1.0,,ratio,artifact_origin_memberships,,"['formal-21-2', 'formal-28-2', 'formal-39-2', 'formal-44-2']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.0,not_applicable,,,,,ratio,adjacent_boundary_recall_difference,设计中没有符合分母的观察,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.1,measured,0,1,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.2,measured,0,10,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.3,measured,0,10,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.4,measured,0,8,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.5,measured,0,40,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.6,measured,0,10,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.decay.7,measured,0,2,0.0,,ratio,adjacent_boundary_recall_difference,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.f1,measured,58,58,1.0,,ratio,artifact_origin_memberships,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
legal_sensitive/Coarse/provenance.precision,measured,29,29,1.0,,ratio,artifact_origin_memberships,,"['formal-21-5', 'formal-28-5', 'formal-39-5', 'formal-44-5']",2.0,[],[],{},0
