request_id,unit,role,endpoint,request_sha256,status,failure,http_status,response_id,model,actual_tokens,request_line,result_line
1,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,cd2e508ee929fb88abe6e4774844aaa29a5ffc4ea9c9b229dcb1e107c0beaac4,completed,,200,resp_096ff00f552930d6016aab595434ac87d0902feb10093eb893,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad54-f839-7d52-ae05-f4fbc38de0fb"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad54-f839-7d52-ae05-f50ed90daa2e"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad54-f83a-7891-a30d-32804c72d73a"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 315, ""output_tokens"": 0}], ""input_tokens"": 315, ""output_tokens"": 0}, ""msg_096ff00f552930d6016aab59554e6087d0aa8e74429f896d99"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 29}], ""input_tokens"": 0, ""output_tokens"": 29}, ""msg_8b04d8b7-cc34-53bd-829d-829aa38c4a44"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_096ff00f552930d6016aab5954bddc87d088b95949e214aea0"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 24}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 670, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 53, ""output_tokens_details"": {""reasoning_tokens"": 24}, ""total_tokens"": 723}",1,1
2,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,3e5bb2234b1e4beb330b36db76e7b04ab0ead597549ea24bb1d480bd20f0cc25,completed,,200,resp_0b7e1056b8d34dcb016aab595c0ee487d0a6cf6b1a1be985be,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-12b8-7d91-a717-2f7b4072f294"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-12b8-7d91-a717-2f8e144227e3"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-12b8-7d91-a717-2fa7c031afc6"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 470, ""output_tokens"": 0}], ""input_tokens"": 470, ""output_tokens"": 0}, ""msg_0b7e1056b8d34dcb016aab595d1bec87d08d38962e2316d595"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 73}], ""input_tokens"": 0, ""output_tokens"": 73}, ""msg_bd5c9bf3-409e-5642-b326-b7dd2d3eae0a"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0b7e1056b8d34dcb016aab595c85c887d0881a036c0e86d84c"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 24}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 825, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 97, ""output_tokens_details"": {""reasoning_tokens"": 24}, ""total_tokens"": 922}",2,2
3,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,b93c04cb90c11be72b97c184d778fe83dae7f200fab706a10b87cc57894350f0,completed,,200,resp_0dbe88b7f39d19e8016aab59646a4087d09363e5916ad8a822,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-3393-7160-a41e-efd179a3316e"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-3393-7160-a41e-efef22014588"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-3394-7340-b12c-5f81a80efa4d"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 681, ""output_tokens"": 0}], ""input_tokens"": 681, ""output_tokens"": 0}, ""msg_0dbe88b7f39d19e8016aab596601ec87d0b00a6e207254b9bb"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 29}], ""input_tokens"": 0, ""output_tokens"": 29}, ""msg_6e416cfd-dc98-5ace-b2f3-c5cafafa42ba"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0dbe88b7f39d19e8016aab596502c087d0b690a01d647799e3"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 47}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1036, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 76, ""output_tokens_details"": {""reasoning_tokens"": 47}, ""total_tokens"": 1112}",3,3
4,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,89cc9659873214638c00372b2e298f455a05436ce2214cf8d6068ee8e83eceb7,completed,,200,resp_08feee08b738b036016aab596ef6f087d084460a4e090b973f,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-5520-7792-bfb5-9a5d272cc339"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-5520-7792-bfb5-9a67e5bb5fff"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-5520-7792-bfb5-9a8871eec470"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 837, ""output_tokens"": 0}], ""input_tokens"": 837, ""output_tokens"": 0}, ""msg_08feee08b738b036016aab5970e9b487d081d56cb30cf5fc40"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 46}], ""input_tokens"": 0, ""output_tokens"": 46}, ""msg_fd82eb81-2b00-57e4-8902-33f909352e40"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_08feee08b738b036016aab596f87e087d0b6ca6a758ca30662"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 69}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1192, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 115, ""output_tokens_details"": {""reasoning_tokens"": 69}, ""total_tokens"": 1307}",4,4
5,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,b24ab634ac0c4ed40a70432264e40ae1a1ce21f236d15eca634c0eeac56f70bf,completed,,200,resp_0292f697c40666ff016aab5976675487d094697189dd9d955a,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-7c24-7c72-b92e-64166b71e116"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-7c24-7c72-b92e-642fb166e1b8"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-7c24-7c72-b92e-6445e67ef35d"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 978, ""output_tokens"": 0}], ""input_tokens"": 978, ""output_tokens"": 0}, ""msg_0292f697c40666ff016aab5977c6a487d080b2477e558c3ac8"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 32}], ""input_tokens"": 0, ""output_tokens"": 32}, ""msg_4f390966-66d8-56fd-87fa-fa589f13c7bc"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0292f697c40666ff016aab5977088087d09c39c116b960c91b"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 33}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1333, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 65, ""output_tokens_details"": {""reasoning_tokens"": 33}, ""total_tokens"": 1398}",5,5
6,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,3421e82ab6e5e03c9a13ab8e3abf31cce4601553dec6ffdc9307aead060927d3,completed,,200,resp_07e4164f5e49e0b7016aab5981466887d0b2e3e7c311bf6836,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-a695-7bc0-a579-2c3e508cc308"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-a695-7bc0-a579-2c4b84d6001c"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-a695-7bc0-a579-2c6f6d399a32"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 1028, ""output_tokens"": 0}], ""input_tokens"": 1028, ""output_tokens"": 0}, ""msg_07e4164f5e49e0b7016aab5983393c87d08f3dacb17d15157d"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 29}], ""input_tokens"": 0, ""output_tokens"": 29}, ""msg_f2f7bbb9-5c46-53c3-b93f-22cb6eb68feb"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_07e4164f5e49e0b7016aab598248fc87d0835ca9cb1c5bb389"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 44}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1383, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 73, ""output_tokens_details"": {""reasoning_tokens"": 44}, ""total_tokens"": 1456}",6,6
7,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,dbe6fcc997b06278a1b2d2e74981f351f3c5868ad2e23d67777d10de130d5f5a,completed,,200,resp_0053e1267655aa85016aab5989ea3887d0aae11c65e9404455,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_0053e1267655aa85016aab598b3af887d0a556128e810c46a0"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 46}], ""input_tokens"": 0, ""output_tokens"": 46}, ""msg_01a0ad55-c7cc-76a1-a95c-11368ef55363"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-c7cc-76a1-a95c-11461bae51c5"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-c7cc-76a1-a95c-116aa2427b62"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 1182, ""output_tokens"": 0}], ""input_tokens"": 1182, ""output_tokens"": 0}, ""msg_4772ade4-0bab-5813-9f2b-d351791b4b47"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0053e1267655aa85016aab598a9a4087d0902f76b790b106e3"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 27}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1537, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 73, ""output_tokens_details"": {""reasoning_tokens"": 27}, ""total_tokens"": 1610}",7,7
8,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,28771b59c0458d5b35a3b269fc1be81b9dbb0c1b39940b6d5a99ef8b3857abe9,completed,,200,resp_0d821c7838580ae1016aab59928e5c87d0b39600eaabb52a10,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad55-e6ac-78a0-96fd-c8580dfede4e"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad55-e6ac-78a0-96fd-c863cdcf6735"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad55-e6ad-7510-a33c-fc2d129d2e6b"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 1322, ""output_tokens"": 0}], ""input_tokens"": 1322, ""output_tokens"": 0}, ""msg_0d821c7838580ae1016aab5994718887d089205ab793e4a887"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 32}], ""input_tokens"": 0, ""output_tokens"": 32}, ""msg_e00f39dc-02bc-5973-b0e8-86c8b6a1dba3"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0d821c7838580ae1016aab5993ca3c87d0a0f8c0026ffff69d"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 28}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1677, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 60, ""output_tokens_details"": {""reasoning_tokens"": 28}, ""total_tokens"": 1737}",8,8
9,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,1f483abd6c29668804e885bdce1722352656e5066c11d6ff9593bdd53723ceb7,completed,,200,resp_0678d09b0daea626016aab599960bc87d080cace5f8b08a637,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad56-066b-7801-9f9e-235176e6e2e6"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad56-066b-7801-9f9e-23681190c011"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad56-066c-7031-af32-a6c34d1d1a98"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 1372, ""output_tokens"": 0}], ""input_tokens"": 1372, ""output_tokens"": 0}, ""msg_0678d09b0daea626016aab599ade5487d0893d242f4d9ea179"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 29}], ""input_tokens"": 0, ""output_tokens"": 29}, ""msg_6cac9e9b-5927-5db4-8183-6b94a769e9ac"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0678d09b0daea626016aab5999f88087d0ba238e8c0952526f"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 41}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1727, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 70, ""output_tokens_details"": {""reasoning_tokens"": 41}, ""total_tokens"": 1797}",9,9
10,TECH-01,actor,https://chatgpt.com/backend-api/codex/responses,a8f0f701991f57fc3f4a2788eb3f627b02ad3010576d5b82ba49941e70e9c6ba,completed,,200,resp_0aaef93f4c051906016aab59a024e487d0b33014ff47eaf373,gpt-5.6-luna,"{""attribution"": {""items"": {""msg_01a0ad56-20b4-7741-aeda-8abee427533e"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 68, ""output_tokens"": 0}], ""input_tokens"": 68, ""output_tokens"": 0}, ""msg_01a0ad56-20b4-7741-aeda-8ac870a8ef9f"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 149, ""output_tokens"": 0}], ""input_tokens"": 149, ""output_tokens"": 0}, ""msg_01a0ad56-20b5-7182-af6a-d756ff4b3d87"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 1527, ""output_tokens"": 0}], ""input_tokens"": 1527, ""output_tokens"": 0}, ""msg_0aaef93f4c051906016aab59a1d88487d0a52a112d0957b51b"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 46}], ""input_tokens"": 0, ""output_tokens"": 46}, ""msg_a16966f3-c251-5a88-8119-a12d37d37867"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""content"": [{""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 82, ""output_tokens"": 0}], ""input_tokens"": 82, ""output_tokens"": 0}, ""rs_0aaef93f4c051906016aab59a1139c87d0950518c6ae614dda"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 2, ""output_tokens"": 35}}, ""request_fields"": {""text.format"": {""cache_write_tokens"": 0, ""cached_tokens"": 0, ""input_tokens"": 54, ""output_tokens"": 0}}}, ""input_tokens"": 1882, ""input_tokens_details"": {""cache_write_tokens"": 0, ""cached_tokens"": 0}, ""output_tokens"": 81, ""output_tokens_details"": {""reasoning_tokens"": 35}, ""total_tokens"": 1963}",10,10
