phase,design,cluster,repeat,complete,old_eligible,corrected_eligible,invalid_runs,run_ids
f,c1-context-grid,s01,1,True,True,True,[],"[""run-4fe1d739bb741337df23b741"",""run-5943cbe876a20f5d7269d265"",""run-c7990f016f03df407cbddeaf"",""run-7c113754ad0a7f7b61d21658""]"
f,c1-context-grid,s01,2,True,True,True,[],"[""run-807906c843fce47180e1b3e7"",""run-4aaddbcc846374453af614c2"",""run-7ecb98ad645a6666bc688d06"",""run-02bcf9b217c16a62e01e85d7""]"
f,c1-context-grid,s01,3,True,True,True,[],"[""run-c5625de002612e6ce06013b5"",""run-6279bf616ce3879de1bc7398"",""run-dfef1d3e635e3104a2773f23"",""run-07c1fef3b038da65698a7837""]"
f,c1-context-grid,s02,1,True,True,True,[],"[""run-d3d6e0a50329a49a448a8a7b"",""run-375e22927c6d66c59d2a545f"",""run-517fd6c9175fc9f9418ce3f8"",""run-e218d9385df9b4e1a6c402ce""]"
f,c1-context-grid,s02,2,True,True,True,[],"[""run-9126f1b7c4e036c3405e3d6c"",""run-a90d17b6e60cd5cbf86726c2"",""run-571528ccebb4e80de96cb6f0"",""run-b00b442a90b4c50fb51747b6""]"
f,c1-context-grid,s02,3,True,True,True,[],"[""run-9fd9467267af1e70211958e6"",""run-350dfb5054d20ee2d1b7fbb2"",""run-7105cf20c61ed8942a599a44"",""run-499ca49652049a6ef0fc70e2""]"
f,c1-context-grid,s03,1,True,True,True,[],"[""run-6ebf349abe77e6c417b62bab"",""run-a6a66acb74fedd4f0b9b8f59"",""run-152e524e6b15065859c21735"",""run-46339ee772ca533e6962cdb7""]"
f,c1-context-grid,s03,2,True,True,True,[],"[""run-aa99d2ce887881b487dfa83a"",""run-3e6ea63fce939bec620c49b5"",""run-ccd8c170d9938905f5938644"",""run-d8a023448b26cd7c696d664b""]"
f,c1-context-grid,s03,3,True,True,True,[],"[""run-78a7f3682a66a51f5bc71815"",""run-b0409e47f57f787cc6f50176"",""run-bf3a0a6b01e1ab41a75baf07"",""run-79745ef529f0075514eff669""]"
f,c1-context-grid,s04,1,True,True,True,[],"[""run-0028ffc6ee4f16b03aaf333a"",""run-a18d0a3c747b2eb8d4c539ba"",""run-6de6c0cc6446815a53e7b848"",""run-c85b546f47470b157747d9ab""]"
f,c1-context-grid,s04,2,True,True,True,[],"[""run-502877e423b82d526a5ca7f7"",""run-d22a0d0aaa31907ee5bc1371"",""run-6ea49ac4006fa53911aa776b"",""run-5aa8e59aef5f95dc4ae6a9d0""]"
f,c1-context-grid,s04,3,True,True,True,[],"[""run-edc9127f9a5b2c1d76093957"",""run-274546b2dd793f2ae88934f6"",""run-1fb372f7c4929a1835f92ff2"",""run-3dcc648c47e9ac6f4ac72ff7""]"
f,c1-context-grid,s05,1,True,True,True,[],"[""run-a5ce3a514b6863e165ec5980"",""run-fcdcdf70562a4bb087ba0aaa"",""run-1d0f757a2021d09361ac63bb"",""run-5c5e106f23e5a981e269f0f1""]"
f,c1-context-grid,s05,2,True,True,True,[],"[""run-3c2e117fe5b48620ab889d77"",""run-35badb8b29010611f8fbfd8d"",""run-4edefb717ebcc287c21c7ddd"",""run-62145f598e3070cb33d02783""]"
f,c1-context-grid,s05,3,True,True,True,[],"[""run-a7ca389f9dc8d0829d412898"",""run-8640c82dd3eda8e0bc97dcee"",""run-dc8f979747addaacdea29a91"",""run-9b44a88e75482f8d0ef9c2fa""]"
f,c2-tool-return-grid,s01,1,True,True,True,[],"[""run-c488e906905f00985a62b53a"",""run-bc6b41bc8a3afa4914be4ed2"",""run-5211a3fcc0e5cb18f5caa181"",""run-540985516fefe8a2c67b201e""]"
f,c2-tool-return-grid,s01,2,True,True,True,[],"[""run-7790eecf87ee607b9d5630c5"",""run-ad5526f52ba946c9baf6bffd"",""run-d00cffad869b7e3517bd9bbd"",""run-91ec97348d12c31afc3e92d2""]"
f,c2-tool-return-grid,s01,3,True,True,True,[],"[""run-591789deeae0443e2d8dc38b"",""run-d1750331799ccd7131179d70"",""run-54ba066b3b9cfeef67da923c"",""run-4501c99d369adfa58ec51771""]"
f,c2-tool-return-grid,s02,1,True,True,True,[],"[""run-a415083b8cec2c4c0871ba56"",""run-03a881bc65c31e01a0ea6896"",""run-672bed57d435d25337965665"",""run-5874ca22df8f36ed038c8e8e""]"
f,c2-tool-return-grid,s02,2,True,True,True,[],"[""run-69032697d7ba8330508fdf89"",""run-16f40dadb856599a39a499d3"",""run-2c380c591a5cb7862ba6d3ff"",""run-71f2455d860fb6652084e17c""]"
f,c2-tool-return-grid,s02,3,True,True,True,[],"[""run-88d3bb886a35b56b5e2d2033"",""run-59768f391763389c8f8f377f"",""run-77fe680d1136dc7dca67456d"",""run-50723a09241547597fb2d25c""]"
f,c2-tool-return-grid,s03,1,True,True,True,[],"[""run-b71a5e378c9aa970d6f0d6cc"",""run-cc3a55092fd41e4a3f3d9056"",""run-a9bc308e03fc6524406b5019"",""run-9de7d84761d1dbdb442d11c5""]"
f,c2-tool-return-grid,s03,2,True,True,True,[],"[""run-9f0d29efb7ae4a2d5c3c3f02"",""run-b49ace27c5352f761ed7e3f0"",""run-7ba636c15ebed43c7c85ee1c"",""run-da892f631df9fa907fbdd253""]"
f,c2-tool-return-grid,s03,3,True,True,True,[],"[""run-bd1c6b04f3621f4d0e527363"",""run-a6f1f35af6e95e90e75cafe2"",""run-6f3a4fecaba1978ebc5f514c"",""run-3817920a7981b45f75540e96""]"
f,c2-tool-return-grid,s04,1,True,True,True,[],"[""run-90486c9c1383be817d3e35b4"",""run-2209461c6e70a32237da647f"",""run-d8a4ed91c05ce533e2fae8b0"",""run-3f9221a88444b26506494460""]"
f,c2-tool-return-grid,s04,2,True,True,True,[],"[""run-a43c2e180c1a1fd28d814aa0"",""run-57242990d59aebbde194512b"",""run-086c3e8ae30e8d297b601bb6"",""run-719d8978c78a2d3b44c73c18""]"
f,c2-tool-return-grid,s04,3,True,True,True,[],"[""run-2221bd2db6b8407defba6b43"",""run-90549f45932f331a926c9e33"",""run-ddd1f75f0d055b1fb1b5ee07"",""run-26f20de48702903db0ae8215""]"
f,c2-tool-return-grid,s05,1,True,True,False,"[""run-98e19856d6765f086e4c4384""]","[""run-98e19856d6765f086e4c4384"",""run-c8314b10205ccd0d3317fa85"",""run-87dda7be168b150b1ac16132"",""run-d51b964e3ab614b617c7c0e5""]"
