metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
main/All/diagnosis/M.f1,measured,0,7,0.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/M.overselect,measured,7,1,7.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/M.precision,measured,0,7,0.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/M.recall,not_applicable,,,,,ratio,offline_request_annotation_not_optimal_policy,设计中没有符合分母的观察,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/M.underselect,measured,0,1,0.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/P.f1,measured,2,8,0.25,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/P.overselect,measured,6,1,6.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/P.precision,measured,1,7,0.14285714285714285,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/P.recall,measured,1,1,1.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
main/All/diagnosis/P.underselect,measured,0,1,0.0,,ratio,offline_request_annotation_not_optimal_policy,,"['formal-01-3', 'formal-03-3', 'formal-04-3', 'formal-06-3', 'formal-07-3', 'formal-08-3', 'formal-09-3', 'formal-11-3', 'formal-12-3', 'formal-13-3', 'formal-14-3', 'formal-15-3', 'formal-16-3', 'formal-17-3', 'formal-18-3', 'formal-19-3', 'formal-20-3', 'formal-21-3', 'formal-23-3', 'formal-24-3', 'formal-28-3', 'formal-29-3', 'formal-33-3', 'formal-34-3', 'formal-35-3', 'formal-36-3', 'formal-37-3', 'formal-39-3', 'formal-41-3', 'formal-42-3', 'formal-43-3', 'formal-44-3', 'formal-45-3', 'formal-47-3', 'formal-48-3', 'formal-49-3', 'formal-50-3', 'formal-52-3', 'formal-53-3', 'formal-55-3', 'event-5e1d9122c5ab2104', 'event-9149c8af3e6f6d3d', 'event-3c8ae367b6f8e112', 'event-6f863a9420908120', 'event-403a1d6d2ac3a8d8', 'event-40ab8cbcc2162774', 'event-b289c1dec058c502']",2.0,[],[],{},0
