phase,run_id,request_id,decision_id,denominator_identified,c1,c2,c3,c4,c5,c6,c7,strict,legacy,reason,reason_status,source,raw_db_found
f,run-b5db773b6137843283bbf4a8,event-ab7525b10e63fc60,decision-9bf869788a314908,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L271,True
f,run-847da2bd984344cbdf762bc7,event-fd866c7b4f84ea51,decision-7515d6178abde1b6,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L272,True
f,run-3357ec4a1efd6304e0aa6d34,event-2750858eedbf5603,decision-1e50bf03a6402005,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L273,True
f,run-8eccb25bf71f19c1db9874ee,event-1b58a01d3e612ed6,decision-703fa039fa58ae85,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L274,True
f,run-1744c37a1b01584968c7a49f,event-f1939758d86d9ec3,decision-383444a268f20a49,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L275,True
f,run-3be40b4cdc81ea50fa9a6982,event-1339e95d54dbab97,decision-efb45a3c264f7e94,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L276,True
f,run-ca96b3611efd2bb63dfaff46,event-3053dbaf25dada1d,decision-e291feb6a552c238,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L277,True
f,run-70734b09a8057b21149e0053,event-1c191f8f2985eab6,decision-d56b691f73d098fe,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L278,True
f,run-3363c9316cbed2575dc55dc3,event-4ecf3afe7cd5f340,decision-766a620592cca1b1,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L279,True
f,run-87317d426bbcb182ac1a80d4,event-7c3bca2bf23ff468,decision-ca907e1f7e555ece,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L280,True
f,run-54dea2752afb07ec773774ee,event-1b45e4e7f7f1423b,decision-828989c4661049ed,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L281,True
f,run-4d4003300da98d4a53f3cd66,event-119572389207c581,decision-fcb83a230a4ce474,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L282,True
f,run-20bd24ff9437fb4a1d4c80d8,event-5c3609ef90ceb83d,decision-3aaeb5af53879236,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L283,True
f,run-0971578d9de2133ca9903a74,event-f338f8319344a730,decision-eb7764729a632efe,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L284,True
f,run-1a3697ade01944dd07591ad4,event-0f55718ad3267fac,decision-170a8d8d5212992b,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L285,True
f,run-6bf330240083418f84f04146,event-5ffba4217fe58c6a,decision-36de4c3bfaa7ecca,True,False,True,True,,True,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L286,True
f,run-31d1921cae75b95c8e089e44,event-5fcba5dd5a19814a,decision-62786f70033251cb,True,False,True,True,,True,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L287,True
f,run-b758e309eac2e5ecc8667afe,event-1f03a9aad5c4fedc,decision-0cac526c42ef1edd,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L288,True
f,run-b8cf198a8a3e1bc08957021d,event-67945210e739ddd3,decision-a2d3da23459320d9,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L291,True
f,run-773d30b308afc7275a5d4d1f,event-6c8f35d15577c340,decision-45052cdbb97d10d2,True,False,True,True,,True,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L293,True
f,run-10524fffc21b06265f8f5c9b,event-2f1507b6972ba28a,decision-4ecced7691d7baa1,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L294,True
f,run-6b19059f096b47a048b5018f,event-a6dee8058c97fef4,decision-10bff6e0991083bc,True,False,True,True,,True,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L296,True
f,run-739af8a05d0cb4b569aac31e,event-1565f66795aa8417,decision-75ac79804d2a207f,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L299,True
f,run-c71a695dc194f3a4ad6b8ee6,event-0e381aa9beb47084,decision-2db586647d11910f,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/f/core-trials.jsonl#L300,True
g,run-50b4c000cc6173488d8b3b2a,event-ab7525b10e63fc60,decision-9bf869788a314908,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L271,True
g,run-e79fe8b0d77af7fd5f42076d,event-fd866c7b4f84ea51,decision-7515d6178abde1b6,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L272,True
g,run-93d285f3e71dc54c88b42d76,event-1b58a01d3e612ed6,decision-703fa039fa58ae85,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L274,True
