metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
All/A1/alr,not_applicable,,,,,ratio,actual_low_trust_claim_requests,设计中没有符合分母的观察,"['formal-12-3', 'formal-14-3', 'formal-15-3', 'formal-17-3', 'formal-35-3', 'formal-43-3', 'formal-45-3', 'formal-49-3']",2.0,[],[],{},0
All/A1/alr.exposed_requests,measured,0,1,0.0,,request_count,actual_low_trust_claim_requests,,"['formal-12-3', 'formal-14-3', 'formal-15-3', 'formal-17-3', 'formal-35-3', 'formal-43-3', 'formal-45-3', 'formal-49-3']",2.0,[],[],{},0
All/A1/alr.plain_bypass,measured,0,1,0.0,,request_count,actual_low_trust_claim_requests,,"['formal-12-3', 'formal-14-3', 'formal-15-3', 'formal-17-3', 'formal-35-3', 'formal-43-3', 'formal-45-3', 'formal-49-3']",2.0,[],[],{},0
All/M2/common_eligible,measured,0,8,0.0,,ratio,all_six_groups_memory_write_and_revocation_observed,,"['formal-06-3', 'formal-08-3', 'formal-23-3', 'formal-24-3', 'formal-36-3', 'formal-37-3', 'formal-48-3', 'formal-50-3']",2.0,[],[],{},0
All/M2/rir_1,not_applicable,,,,,ratio,revocation_session_1_task_success_core,设计中没有符合分母的观察,"['formal-06-3', 'formal-08-3', 'formal-23-3', 'formal-24-3', 'formal-36-3', 'formal-37-3', 'formal-48-3', 'formal-50-3']",2.0,[],[],{},0
All/M2/rir_1.scheduled_normalization,measured,0,8,0.0,,ratio,scheduled_M2_core_strict_numerator,,"['formal-06-3', 'formal-08-3', 'formal-23-3', 'formal-24-3', 'formal-36-3', 'formal-37-3', 'formal-48-3', 'formal-50-3']",2.0,[],[],{},0
All/M2/rir_3,not_applicable,,,,,ratio,revocation_session_3_task_success_core,设计中没有符合分母的观察,"['formal-06-3', 'formal-08-3', 'formal-23-3', 'formal-24-3', 'formal-36-3', 'formal-37-3', 'formal-48-3', 'formal-50-3']",2.0,[],[],{},0
All/M2/rir_3.scheduled_normalization,measured,0,8,0.0,,ratio,scheduled_M2_core_strict_numerator,,"['formal-06-3', 'formal-08-3', 'formal-23-3', 'formal-24-3', 'formal-36-3', 'formal-37-3', 'formal-48-3', 'formal-50-3']",2.0,[],[],{},0
Best Fixed/A1/alr,not_applicable,,,,,ratio,actual_low_trust_claim_requests,设计中没有符合分母的观察,"['formal-12-2', 'formal-14-2', 'formal-15-2', 'formal-17-2', 'formal-35-2', 'formal-43-2', 'formal-45-2', 'formal-49-2']",2.0,[],[],{},0
Best Fixed/A1/alr.exposed_requests,measured,0,1,0.0,,request_count,actual_low_trust_claim_requests,,"['formal-12-2', 'formal-14-2', 'formal-15-2', 'formal-17-2', 'formal-35-2', 'formal-43-2', 'formal-45-2', 'formal-49-2']",2.0,[],[],{},0
