query_id,phase,source_ref,original_endpoint,identity_endpoint,neutral_endpoint,ci,structural_eligible,original_identity_stable,semantic_preservation,interpretation
i_12d4e6b52215288c2c573a04,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L1,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_2769b52fd1603cb5399142ee,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L2,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_40abb6f49669efaa063f9580,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L3,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_48d1898e5fb06301026692f1,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L4,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_7a5bc59b01dd2b5032f847b7,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L5,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_6746b890e5194904646263ed,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L6,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_93636f46468e609ac5f4e5fc,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L7,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_51efe32cd823a0ca3e8717ff,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L8,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_12470ff4db4b5482941e774e,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L9,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_694743640346017030004461,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L10,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_9793b840bdcd33cd242c6c73,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L11,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_bb55e7c9d2847201e9c169d2,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L12,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_e61328fc88e2526d60262ffa,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L13,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_66cb433c41a55e10a1705ca6,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L14,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_55e0b18a71b48dbe84dcd19c,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L15,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_de23e1a72f59831419cc1c8f,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L16,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
i_c15f65e479ecabe604a3b332,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L17,False,False,False,0,True,True,,post-prediction Full-only descriptive sensitivity; no new query or execution
i_12398796627813fa411e89ac,f,datasets/t17-v2/stages/f/replay-pairs.jsonl#L18,False,False,False,0,True,True,False,post-prediction Full-only descriptive sensitivity; no new query or execution
