phase,unit_id,run_id,request_id,response_id,attempt_index,first_failure_step,cause,status,incomplete_reason,visible_output_items,required_fields,actual_visible_fields,host_source_expected_from,allowed_action_ids,input_artifacts_count,request_max_output_tokens,total_output_tokens,reasoning_tokens,source_file,source_sha256,core_ref,m2_source_present,memory_writes,mechanical_adapter_can_recover_saved_output
g,t17-live-reference-v2-model2-m2-control-normal-s01-r1,run-5c1f3fc65e76e5c2f5f3bd11,call-3b88380120955b98,4832a472-4e9b-4403-a6a9-521596e80457,585,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2047,2047,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000585.json,f402c2681b275026d455708f50e00b351d4e1aafaef3250000cc94048c56eee2,datasets/t17-v2/stages/g/core-trials.jsonl#L241,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s01-r2,run-4980a066349dfd61d11957fb,call-1bd2899b7fbbca85,d31191ae-ce36-4d68-b550-e9037731e975,589,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000589.json,12694c65e77375f37412ecd909dce669f611f6e6f722b9d3ce3a4967fe4fd11e,datasets/t17-v2/stages/g/core-trials.jsonl#L242,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s01-r3,run-e1ac26299d4fdf86f35cce8c,call-798efd373e74d271,1e5a3b2a-c848-4517-9852-709de9d07b4f,593,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000593.json,24806aa3253fa3900020605eabb44741944228b27aa73f0125b59c1cf1863ae5,datasets/t17-v2/stages/g/core-trials.jsonl#L243,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s02-r1,run-0bb0b9fd7f968aca3edb95e4,call-1ef923bab1558987,8ca1091a-5639-4e23-a4c5-6d8bdc8a1946,597,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000597.json,aa74f7589c20c863b179e10e45c0a3b2623a7effb75b719285de0f21b2570522,datasets/t17-v2/stages/g/core-trials.jsonl#L244,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s02-r2,run-e3a2286e3afbaec58d59ca8b,call-9eb194030e82a065,45fefe17-58cf-4dfe-b0d7-3492a538e3fe,601,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000601.json,fe428bd57986f965d615792f372459f31952115dde1807d37e841395b9a3fa79,datasets/t17-v2/stages/g/core-trials.jsonl#L245,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s02-r3,run-10fad27992118603008c810d,call-17f0a0488c31b883,91410b94-b375-4677-84b5-add57a5197dc,605,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000605.json,d7e4cc47e0fa47a9cd014ed626afe6ec84ae3f3440bd878c43a61b54f839c91b,datasets/t17-v2/stages/g/core-trials.jsonl#L246,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s03-r1,run-05028e98e0751bb66d6101fb,call-5792f30087853dd0,60ba9b98-869b-476f-8c2f-182e04ca3e21,609,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000609.json,14bc8d3deb07e1d13d141aa01fc346a1474386dfbc845dc31cf7c6b695af1d72,datasets/t17-v2/stages/g/core-trials.jsonl#L247,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s03-r2,run-39fb4731fd70638cbd030353,call-247bfe6e729b1242,28181d89-ba04-4e3c-a22a-8fc5a298c8f1,613,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000613.json,8eefcb7bf33eee400cbf73382f4511ccf8cde7f1aefba156906cb922e8c3f616,datasets/t17-v2/stages/g/core-trials.jsonl#L248,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s03-r3,run-15fa2f33c885d1606a02c0f9,call-9e723693a93d8bdc,e635e551-5fdc-47a6-95d7-0f15ea97678b,617,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000617.json,cfc5be09a3995450a19da38820f137aa7032b4459d5b0a878f1b7d92d6e4bc4a,datasets/t17-v2/stages/g/core-trials.jsonl#L249,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s04-r1,run-09c1441a949aee3b9986a075,call-0ecb876e07d2abd6,0ced8745-9cdc-4c85-b4c3-26552026c373,621,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000621.json,910fdf067104f1aa1fd6129e8913652b489310948a79c34d6b96bb3fc9b8a268,datasets/t17-v2/stages/g/core-trials.jsonl#L250,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s04-r2,run-ba2e239296f7cf4220d71eaf,call-6d415b712cc78f35,ec490eac-977c-4e6f-a0dd-0fe4b5a24d27,625,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000625.json,4da8089134861ee8b2076e2ab84e76e10e93084220574d5ed1727de4c1a2b6e1,datasets/t17-v2/stages/g/core-trials.jsonl#L251,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s04-r3,run-c89a4dec8e6e102a24da22ac,call-517c340a7b2227de,e9cf2a6f-6c0a-4f0f-b54a-054138a2170c,629,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000629.json,dcfaa741adc4f87cbb9034be01ccafcc718560084d141281fc7e4767a5095e57,datasets/t17-v2/stages/g/core-trials.jsonl#L252,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s05-r1,run-fd552714e13e37d6042fb8b8,call-df0254ba5a505737,d219bf51-ef5e-4a73-85b3-2587e40b72d3,633,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000633.json,88d05fc436d4539a43e6bfde179ae3ae23a0a0996c51977cbc373a8d0204b76d,datasets/t17-v2/stages/g/core-trials.jsonl#L253,False,0,False
g,t17-live-reference-v2-model2-m2-control-normal-s05-r2,run-06f9a4e9479bbdc3673c3bf3,call-9d00f61f794d521f,d8e03fa8-dc62-4569-86da-a539913cfad6,637,m2-a-read,output_cap_before_visible_decision,incomplete,max_output_tokens,0,"[""selected_action_ids"", ""output_text""]",[],Actor chooses read-memory-source; host executes file.read and binds its output alias,"[""read-memory-source"", ""write-shared-memory""]",0,2048,2048,2048,runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/api-private/000637.json,876139c21c49b0b8e8eae803b751baebaecec6d880a9f1db53ec36a5dd258346,datasets/t17-v2/stages/g/core-trials.jsonl#L254,False,0,False
