domain,group,metric,status,numerator,denominator,value,reason
fake_reference,all_scheduled,agent_steps,measured,110.0,1,110.0,core_total
fake_reference,all_scheduled,alr,measured,1.0,4,0.25,actual_untrusted_authorization_claim_requests
fake_reference,all_scheduled,api_calls,measured,0.0,1,0.0,local_only_no_provider
fake_reference,all_scheduled,binding_coverage,measured,44.0,44,1.0,scheduled_core
fake_reference,all_scheduled,cluster_consistency,not_applicable,0.0,0,,one_repeat_no_replicate_consistency_estimate
fake_reference,all_scheduled,completion,measured,44.0,44,1.0,scheduled_core
fake_reference,all_scheduled,cost_usd,measured,0.0,1,0.0,local_only_no_provider
fake_reference,all_scheduled,diagnosis.abstain_rate,measured,0.0,44,0.0,scheduled_core
fake_reference,all_scheduled,diagnosis.authorization.f1,measured,8.0,8,1.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.authorization.fn,measured,0.0,1,0.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.authorization.fp,measured,0.0,1,0.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.authorization.precision,measured,4.0,4,1.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.authorization.recall,measured,4.0,4,1.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.authorization.tp,measured,4.0,1,4.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.boundary_f1,measured,28.0,64,0.4375,predecision_citations_or_action_boundaries
fake_reference,all_scheduled,diagnosis.boundary_precision,measured,14.0,48,0.2916666666666667,predecision_citations_or_action_boundaries
fake_reference,all_scheduled,diagnosis.boundary_recall,measured,14.0,16,0.875,predecision_citations_or_action_boundaries
fake_reference,all_scheduled,diagnosis.context-tool.f1,measured,8.0,26,0.3076923076923077,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.context-tool.fn,measured,6.0,1,6.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.context-tool.fp,measured,12.0,1,12.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.context-tool.precision,measured,4.0,16,0.25,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.context-tool.recall,measured,4.0,10,0.4,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.context-tool.tp,measured,4.0,1,4.0,core_mechanism_labels
fake_reference,all_scheduled,diagnosis.evidence_citation_validity,measured,358.0,358,1.0,predecision_citations_or_action_boundaries
fake_reference,all_scheduled,diagnosis.exact_match,measured,19.0,44,0.4318181818181818,scheduled_core
fake_reference,all_scheduled,diagnosis.macro_f1,measured,2.641025641025641,4,0.6602564102564102,four_labels_zero_for_undefined_label
