id,item,status,actual_evidence,source_refs,remaining_boundary
G01,静态pot,IMPLEMENTED_WITH_HISTORICAL_BOUNDARY,7个实际声明域构念、14个独立穷举检查,POT_SETS_AND_WITNESSES.json; audit/POT_INDEPENDENT_ENUMERATION.json,旧T17缺冻结闭合静态模型，仍不可识别
G02,显式授权原因,PARTIALLY_RESOLVED,61原DB核查；严格三值区间；SCRIPTED_NEW真实implicit授权正例；新Live4/4原分支已执行但敏感请求0,ALR_STRICT_FUNNEL.csv; live/public/AUTHORIZATION_DECISIONS.jsonl; LIVE_ALR_SEVEN_CONDITIONS.csv,历史reason不可追回；Live严格ALR N=0，核心自然机制主张未识别；构念正例不可回填Live
G03,RIR有效队列,REPAIRED_WITH_IDENTIFICATION_LIMITS,旧队列保留、新chain重算、实际8前缀和4分支冻结补实验,RIR_LEGACY_AND_CHAIN.csv; LIVE_RIR_COHORTS.csv; live/public/CHECKPOINT_RELATIONS.json,confirmed-prefix缺证；没有可中和片段则N不适用；k相关
G04,CI稳定性,RESOLVED_AUDIT_WITH_SEMANTIC_LIMIT,全体/稳定子集并列，593原干预对象追回，289对JSON内容schema破坏,CI_FULL_AND_STABILITY.csv; audit/CI_CONTENT_SCHEMA_SENSITIVITY.json,整对象消融，不能声称控制语义单独因果效应
G05,模型格式及独立性,FAILURE_ROOT_CAUSE_RESOLVED,DS全部30条原请求/响应：29明确预算截断，1合法无调用,M2_FIRST_FAILURES.csv; M2_DIAGNOSIS.md,G171/360格式失败及仅五簇仍限制模型比较
G06,独立检查范围,SUBSTANTIALLY_EXPANDED,990核心；1372授权、6495图深度、468统计区间均独立实现一致,audit/INDEPENDENT_SUMMARY.json; review_slice/RECOMPUTED.json,历史manifest字节快照/记录器父边信任边界仍在
G07,导出信任边界,RETAINED_BOUNDARY,来源哈希、可公开实际消息、事件及本地回执,SOURCE_MANIFEST_P3R.json; live/public/REQUESTS.jsonl; live/public/RESULTS.jsonl,服务端不可变模型快照与私有推理不追回/不公开
G08,旧T19R审计,RETAINED_NOT_RESUMED,旧1818+6、审计11+1+1140、三联0/576仅作缺口,legacy/T19R_GAP_APPENDIX.md,不恢复旧1824/1152、不重发未知
G09,Evidence边界,RETAINED_SCOPED_MAPPING,原6个已保存边界的输入→选择映射；未增加读取,METRIC_TO_DECISION_MAP.md,只代表该局部链；当前不读聚合HIAA/ALR/RIR
G10,人工审查/发布,RETAINED_USER_REVIEW,本地代码与独立核查、审查ZIP和提交清单,P3R_STATUS.json; COMMIT_REVIEW_LIST.md,人审0；未commit/push；Codex核验不是人工认可
G11,T17画像跨域,RETAINED_NOT_IMPLEMENTED,后续规划归档，缺失/不兼容回落Local-only,AFTER_P3_PLAN.md,无跨域兼容证据，不按模型同名直接迁移
