cost,query_id,metric,truth_status,truth_value,full_status,full_value,max_budget_agreement
C1,N00001:UEA,UEA,point,0,point,False,True
C1,N00001:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00002:UEA,UEA,point,0,point,False,True
C1,N00002:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00003:UEA,UEA,point,1,point,True,True
C1,N00003:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00004:UEA,UEA,point,0,point,False,True
C1,N00004:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00005:UEA,UEA,point,0,point,False,True
C1,N00005:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00006:UEA,UEA,point,0,point,False,True
C1,N00006:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00007:UEA,UEA,point,1,point,True,True
C1,N00007:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00008:UEA,UEA,point,0,point,False,True
C1,N00008:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00009:UEA,UEA,point,0,point,False,True
C1,N00009:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00010:UEA,UEA,point,0,point,False,True
C1,N00010:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00011:UEA,UEA,point,1,point,True,True
C1,N00011:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00012:UEA,UEA,point,0,point,False,True
C1,N00012:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00013:UEA,UEA,point,0,point,False,True
C1,N00013:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00014:UEA,UEA,point,0,point,False,True
C1,N00014:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00015:UEA,UEA,point,1,point,True,True
C1,N00015:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00016:UEA,UEA,point,0,point,False,True
C1,N00016:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00017:UEA,UEA,point,0,point,False,True
C1,N00017:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00018:UEA,UEA,point,0,point,False,True
C1,N00018:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00019:UEA,UEA,point,1,point,True,True
C1,N00019:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00020:UEA,UEA,point,0,point,False,True
C1,N00020:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00021:UEA,UEA,point,0,point,False,True
C1,N00021:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00022:UEA,UEA,point,0,point,False,True
C1,N00022:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,N00023:UEA,UEA,point,1,point,True,True
C1,N00023:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,N00024:UEA,UEA,point,0,point,False,True
C1,N00024:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00001:UEA,UEA,point,0,point,False,True
C2,N00001:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00002:UEA,UEA,point,0,point,False,True
C2,N00002:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00003:UEA,UEA,point,1,point,True,True
C2,N00003:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00004:UEA,UEA,point,0,point,False,True
C2,N00004:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00005:UEA,UEA,point,0,point,False,True
C2,N00005:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00006:UEA,UEA,point,0,point,False,True
C2,N00006:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00007:UEA,UEA,point,1,point,True,True
C2,N00007:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00008:UEA,UEA,point,0,point,False,True
C2,N00008:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00009:UEA,UEA,point,0,point,False,True
C2,N00009:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00010:UEA,UEA,point,0,point,False,True
C2,N00010:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00011:UEA,UEA,point,1,point,True,True
C2,N00011:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00012:UEA,UEA,point,0,point,False,True
C2,N00012:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00013:UEA,UEA,point,0,point,False,True
C2,N00013:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00014:UEA,UEA,point,0,point,False,True
C2,N00014:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00015:UEA,UEA,point,1,point,True,True
C2,N00015:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00016:UEA,UEA,point,0,point,False,True
C2,N00016:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00017:UEA,UEA,point,0,point,False,True
C2,N00017:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00018:UEA,UEA,point,0,point,False,True
C2,N00018:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00019:UEA,UEA,point,1,point,True,True
C2,N00019:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00020:UEA,UEA,point,0,point,False,True
C2,N00020:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00021:UEA,UEA,point,0,point,False,True
C2,N00021:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00022:UEA,UEA,point,0,point,False,True
C2,N00022:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,N00023:UEA,UEA,point,1,point,True,True
C2,N00023:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,N00024:UEA,UEA,point,0,point,False,True
C2,N00024:TaskSuccess,TaskSuccess,point,0,point,False,True
