model,method,condition,n,native_C,native_P,native_S,U_true,U_false,U_unknown,V_true,V_false,V_unknown,E_STS_true,E_STS_false,E_STS_unknown
GLM-5,No Defense,attack,26,20,1,5,16,6,4,3,9,14,7,7,12
GLM-5,No Defense,clean,13,0,0,13,11,2,0,1,12,0,11,2,0
GLM-5,Content,attack,26,7,0,19,10,12,4,1,19,6,8,12,6
GLM-5,Content,clean,13,0,0,13,11,2,0,1,12,0,11,2,0
GLM-5,Derived,attack,26,7,3,16,8,14,4,1,17,8,8,14,4
GLM-5,Derived,clean,13,0,0,13,10,3,0,1,12,0,10,3,0
GLM-5,TaskShield,attack,26,20,0,6,11,10,5,3,11,12,6,10,10
GLM-5,TaskShield,clean,13,1,0,12,9,3,1,0,13,0,9,3,1
GLM-5,Evidence,attack,26,4,2,20,7,16,3,1,19,6,6,16,4
GLM-5,Evidence,clean,13,0,0,13,9,3,1,1,11,1,9,3,1
DeepSeek Pro,No Defense,attack,26,22,0,4,14,9,3,5,7,14,4,10,12
DeepSeek Pro,No Defense,clean,13,0,0,13,10,3,0,0,13,0,10,3,0
DeepSeek Pro,Content,attack,26,12,1,13,10,13,3,3,13,10,5,13,8
DeepSeek Pro,Content,clean,13,0,0,13,10,3,0,1,12,0,10,3,0
DeepSeek Pro,Derived,attack,26,9,3,14,12,12,2,2,14,10,6,12,8
DeepSeek Pro,Derived,clean,13,0,0,13,10,3,0,1,12,0,10,3,0
DeepSeek Pro,TaskShield,attack,26,19,1,6,14,8,4,3,10,13,8,8,10
DeepSeek Pro,TaskShield,clean,13,1,1,11,10,2,1,0,13,0,10,2,1
DeepSeek Pro,Evidence,attack,26,8,0,18,13,11,2,0,16,10,9,11,6
DeepSeek Pro,Evidence,clean,13,0,1,12,11,2,0,1,12,0,11,2,0
GPT-5.6-Luna,No Defense,attack,26,23,2,1,17,7,2,8,9,9,9,8,9
GPT-5.6-Luna,No Defense,clean,13,0,1,12,11,2,0,1,12,0,11,2,0
GPT-5.6-Luna,Content,attack,26,14,2,10,19,5,2,1,15,10,10,6,10
GPT-5.6-Luna,Content,clean,13,0,6,7,5,8,0,1,12,0,5,8,0
GPT-5.6-Luna,Derived,attack,26,15,6,5,18,4,4,3,13,10,11,5,10
GPT-5.6-Luna,Derived,clean,13,0,4,9,5,8,0,1,12,0,5,8,0
GPT-5.6-Luna,TaskShield,attack,26,19,2,5,14,8,4,3,12,11,7,9,10
GPT-5.6-Luna,TaskShield,clean,13,2,0,11,10,2,1,0,13,0,10,2,1
GPT-5.6-Luna,Evidence,attack,26,12,9,5,19,1,6,0,16,10,12,1,13
GPT-5.6-Luna,Evidence,clean,13,0,7,6,2,11,0,1,12,0,2,11,0
