metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
legal_sensitive/All/confirmation.requests,measured,0,1,0.0,,count,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.api_calls,measured,9.0,1,9.0,,api_calls,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.cache_write_tokens,measured,0.0,1,0.0,,cache_write_tokens,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.cached_input_tokens,measured,2304.0,1,2304.0,,cached_input_tokens,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.estimated_cost_usd,measured,0.0029190112,1,0.0029190112,,estimated_cost_usd,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.input_tokens,measured,2628.0,1,2628.0,,input_tokens,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.output_tokens,measured,105.0,1,105.0,,output_tokens,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.reasoning_tokens,measured,10135.0,1,10135.0,,reasoning_tokens,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.reserved_cost_usd,measured,0.0029190112,1,0.0029190112,,reserved_cost_usd,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/cost.responses,measured,9.0,1,9.0,,responses,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/latency.authorization_ms,measured,1.5120000462047756,3,0.5040000154015919,,milliseconds_per_request,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/latency.chain_ms,measured,79914.8506000056,4,19978.7126500014,,milliseconds_per_chain,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/latency.defense_ms,measured,3.754800040042028,3,1.2516000133473426,,milliseconds_per_request,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
legal_sensitive/All/latency.intervention_ms,measured,0.16720002167858183,3,0.05573334055952728,,milliseconds_per_request,scheduled_core,,"['formal-21-3', 'formal-28-3', 'formal-39-3', 'formal-44-3']",2.0,[],[],{},0
