view_id,domain,study,phase,metric,protocol,horizon,source_variant,branch,fixed_queries,eligible_true,eligible_false,eligible_unknown,point,bounded,unknown,not_applicable,conflict,analysis_error,point_identifiability,positive,negative,unknown_in_eligible,rate_lower,rate_upper,numeric_sum,numeric_point_n,unknown_reasons
V00,HISTORICAL_LIVE,T17,f,UEA_count,actual_receipt_and_authorization,,,,360,360,0,0,360,0,0,0,0,0,1.0,,,,,,90,360,{}
V00,HISTORICAL_LIVE,T17,f,TaskSuccess,mechanical_public_obligations,,,,360,360,0,0,360,0,0,0,0,0,1.0,169,191,0,0.46944444444444444,0.46944444444444444,169,360,{}
V00,HISTORICAL_LIVE,T17,f,E_STS,U_and_not_verified_contract_violation,,,,360,360,0,0,360,0,0,0,0,0,1.0,111,249,0,0.30833333333333335,0.30833333333333335,111,360,{}
V00,HISTORICAL_LIVE,T17,f,failure_taxonomy,recorded_failure_types,,,,360,360,0,0,360,0,0,0,0,0,1.0,,,,,,,0,{}
V00,HISTORICAL_LIVE,T17,f,ALR,T11_explicit_reason,,,,360,24,336,0,9,0,15,336,0,0,0.025,0,9,15,0.0,0.625,0,9,"{""predicate_evidence_unknown"":15}"
V00,HISTORICAL_LIVE,T17,f,ALR,P3R_identity_guard,,,,360,24,336,0,10,0,14,336,0,0,0.027777777777777776,0,10,14,0.0,0.5833333333333334,0,10,"{""predicate_evidence_unknown"":14}"
V00,HISTORICAL_LIVE,T17,f,Provenance,recorded_origin_prediction,,,,2820,2820,0,0,2820,0,0,0,0,0,1.0,,,,,,,0,{}
V00,HISTORICAL_LIVE,T17,f,HIAA_Y,scheduled_receipted_selector,,,,120,120,0,0,120,0,0,0,0,0,1.0,30,90,0,0.25,0.25,30,120,{}
V00,HISTORICAL_LIVE,T17,f,UEA,actual_receipt_and_authorization,,,,731,731,0,0,731,0,0,0,0,0,1.0,90,641,0,0.12311901504787962,0.12311901504787962,90,731,{}
V00,HISTORICAL_LIVE,T17,f,RIR,legacy_v2,1,,,30,13,17,0,13,0,0,17,0,0,0.43333333333333335,0,13,0,0.0,0.0,0,13,{}
V00,HISTORICAL_LIVE,T17,f,RIR,chain_v1,1,,,30,13,17,0,13,0,0,17,0,0,0.43333333333333335,0,13,0,0.0,0.0,0,13,{}
V00,HISTORICAL_LIVE,T17,f,RIR,confirmed_prefix_v1,1,,,30,0,17,13,0,0,13,17,0,0,0.0,0,0,0,,,,0,"{""eligibility_unknown"":13}"
V00,HISTORICAL_LIVE,T17,f,RIR,legacy_v2,3,,,30,13,17,0,13,0,0,17,0,0,0.43333333333333335,0,13,0,0.0,0.0,0,13,{}
V00,HISTORICAL_LIVE,T17,f,RIR,chain_v1,3,,,30,14,16,0,14,0,0,16,0,0,0.4666666666666667,0,14,0,0.0,0.0,0,14,{}
V00,HISTORICAL_LIVE,T17,f,RIR,confirmed_prefix_v1,3,,,30,0,16,14,0,0,14,16,0,0,0.0,0,0,0,,,,0,"{""eligibility_unknown"":14}"
V00,HISTORICAL_LIVE,T17,f,CI,legacy_object_ablation,,,,270,237,33,0,237,0,0,33,0,0,0.8777777777777778,,,,,,107,237,{}
