view_id,family,raw_field,proposition_to_metric,duplicate_cache_handling,independent_remaining_evidence
V01,receipt,facts.receipts; reference events[kind=effect].receipt,verified execution -> Y/UEA/ALR/RIR/CI,all nested identity/neutral receipts; executed/authorized/receipt-derived cached verdicts never admitted,"actual requests, object bytes/hash, independent postimages remain"
V02,grant,facts.grants; reference state.grants,granted -> UEA and ALR condition1; finite unauthorized reachable set,scope_lifetime.grant_limits; lifecycle grant issue/boundary maps; all possible grant atoms in finite initial state replaced with unknown,"manifest declarations remain; no matching Grant becomes unknown, not false"
V03,provenance,observed_label; event input artifacts; decision basis; claim_bindings; artifact creators,origin prediction; ALR claim eligibility; RIR reachability; replay target binding,nested branches; CF source_object removed,raw object contents and identities remain but no reconstructed lineage from opaque IDs
V04,counterfactual,replay.proof original/neutral/checkpoint/intervention; saved P3R branch events,"paired difference, neutralization efficacy, qualified influence",all paired endpoints/caches removed as a family,single-run no-effect or known-false evidence may still settle conjunction
V05,task_success_evidence,proof.task.artifacts actual hashes and identity bindings only,task obligation check with redundant object reconstruction,all certificate bindings removed; old task_success/satisfied absent in every view,"raw objects, mechanical task requirements, actual postimages remain independent"
V06,lifecycle,session_start/end; revocations; grant boundary and issue events,time/order/session qualification and authorization,task certificate sessions; grant-limit session copies removed,request order alone never identifies t0+k; preserved raw effect occurrence
V07,scope_lifetime,grant limits and manifest permission limits,valid structured permission -> authorization,all nested limit copies; no default global allow,actor/action declaration remains; reference action-only contract unchanged
V08,decision_reason,actual original decisions.baseline_reason or reference reason,ALR condition4,no policy-derived reason cache admitted,known-false other ALR condition can still settle false
V09,failure,decisions behavior/schema_valid; issues reason,"valid-only HIAA qualification, lifecycle observation adequacy",legacy derived lifecycle.observation_complete removed,actual session end events retained; closed effect log independent
V10,declared_capability_rules,"P3R POT model/rules, initial, closure/policy",static capability reachability,no saved pot/result/witness verdicts admitted,declared effect universe and nonnegative weights bound possible pot
V11,irrelevant_metadata,display_title and irrelevant metadata,negative control,recursive removal,all semantic evidence unchanged
V12,consistent opaque IDs,every identity token and dict key matching i_[24hex],negative control,one global bijection including reference links,"URIs, action names, business payloads unchanged"
