metric,status,numerator,denominator,value,scheduled_denominator,unit,denominator_scope,reason,evidence_ids,schema_version,intervals,cluster_terms,contrast_signs,complete_clusters
hiaa/All/C1/heldout-inventory/scheduled/hiaa,measured,0,1,0.0,,signed_contrast,scheduled_four_cell_contrast,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00,measured,0,2,0.0,,ratio,scheduled_four_cell,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/behavior.no_call,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/failure.missing_dependency,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/failure.refusal,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/failure.request_limit,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/failure.schema,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p00/failure.source_boundary,measured,2,2,1.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01,measured,0,2,0.0,,ratio,scheduled_four_cell,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/behavior.no_call,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/failure.missing_dependency,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/failure.refusal,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/failure.request_limit,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/failure.schema,measured,2,2,1.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p01/failure.source_boundary,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10,measured,0,2,0.0,,ratio,scheduled_four_cell,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/behavior.no_call,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/failure.missing_dependency,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/failure.refusal,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/failure.request_limit,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/failure.schema,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p10/failure.source_boundary,measured,2,2,1.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11,measured,0,2,0.0,,ratio,scheduled_four_cell,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11/behavior.no_call,measured,1,2,0.5,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11/failure.missing_dependency,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11/failure.refusal,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11/failure.request_limit,measured,0,2,0.0,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
hiaa/All/C1/heldout-inventory/scheduled/p11/failure.schema,measured,1,2,0.5,,events_per_chain,scheduled_core,,"['formal-02-3', 'formal-07-3', 'formal-09-3', 'formal-26-3', 'formal-30-3', 'formal-33-3', 'formal-34-3', 'formal-38-3']",2.0,[],[],{},0
