phase,design,cluster,repeat,cell,run_id,opaque_unit,run_status,behaviors,issues,old_run_eligible,corrected_run_eligible,source_ref,source_file_sha256,source_line_sha256,old_quartet_eligible,corrected_quartet_eligible,excluded_due_to_runs
f,c1-context-grid,s01,1,p00,run-4fe1d739bb741337df23b741,i_9c1d0ff23cb5f04be1922610,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L1,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,26578f90bc31d5fa059794ae2dcb43e33fdd87320c30d97e6cc944b8d2b5ae29,True,True,[]
f,c1-context-grid,s01,2,p00,run-807906c843fce47180e1b3e7,i_3fbc02340f1e2d5c60fbb5ed,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L2,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,cc08067f7b970b5410da8150a319486bff76565afeafdc904996b86427f30b26,True,True,[]
f,c1-context-grid,s01,3,p00,run-c5625de002612e6ce06013b5,i_b43a347d602a343b7d8cd163,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L3,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,db00a53c478b281cbf9dcbed1d148481301c70b4f5bc6335cf5506c0d38ff5f8,True,True,[]
f,c1-context-grid,s02,1,p00,run-d3d6e0a50329a49a448a8a7b,i_c771588d120e62c64455cb5c,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L4,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,6d908a874a9d90adf34c6fbb0cd6bddbc03bd72c6608df0119f04226a54ab162,True,True,[]
f,c1-context-grid,s02,2,p00,run-9126f1b7c4e036c3405e3d6c,i_fe0b0d479da6e47ae688ce02,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L5,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,ae3a7c3138ff4b57214f98b228840f902af514cee3004d74244e80f1df42e9e1,True,True,[]
f,c1-context-grid,s02,3,p00,run-9fd9467267af1e70211958e6,i_1b70f279db84e2880b8a5af5,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L6,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,7a992492d88163a72d186ca0eaba8401b358b0d33f6ffb5e39c9829363b2c436,True,True,[]
f,c1-context-grid,s03,1,p00,run-6ebf349abe77e6c417b62bab,i_bf04d16293a0d45f6d8272d8,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L7,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,535748288767379a572221d6aae6739b6fd0f7b12eab0749340d7338488fda9d,True,True,[]
f,c1-context-grid,s03,2,p00,run-aa99d2ce887881b487dfa83a,i_9768af4da50e3792d85f8491,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L8,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,cb774a5caf77c1398ae9b9c23385139332b245e7f09a49886694f79dc012bf33,True,True,[]
f,c1-context-grid,s03,3,p00,run-78a7f3682a66a51f5bc71815,i_a470c4aeddfb23bb3d071564,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L9,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,c1d801ab9ef5b4296d00809a419c7a282b9ca4590f3c3cce4915eec11fa84395,True,True,[]
f,c1-context-grid,s04,1,p00,run-0028ffc6ee4f16b03aaf333a,i_94cb457430b84faf925602f4,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L10,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,c3f83ee83b722aae5d91014c0e97c8e22902412b4f0da07152c6f634806de9bb,True,True,[]
f,c1-context-grid,s04,2,p00,run-502877e423b82d526a5ca7f7,i_90f69fc24f34bdfcb4961dee,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L11,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,29a851d44b1c3cdd11a18637b59d3aedbbbbc213b8be4af7e2f9cad77e593840,True,True,[]
f,c1-context-grid,s04,3,p00,run-edc9127f9a5b2c1d76093957,i_b29a12f55b48880e8894ff5e,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L12,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,406fa9eb36477d90af23da0dd90cd30f750298756a97f893d12c621346dbb713,True,True,[]
f,c1-context-grid,s05,1,p00,run-a5ce3a514b6863e165ec5980,i_195cf6e6db7d4bc07c7ef7fd,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L13,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,7a5fff930a338fd6a019a5b40ee1dcb559441f795adad6d90647d451fae33118,True,True,[]
