phase,run_id,condition,source_variant,k,planned,memory_formed,memory_ids,revoked,session_arrived,observation_complete,legacy_eligible,legacy_numerator,task_success,chain_eligible,chain_status,unauthorized_effect_ids,confirmed_prefix,ref
f,run-7c5877d4173e3624ced67105,m2-control-normal,neutral,1,True,True,"[""artifact-fb0cb415b1b34c59"", ""artifact-16042948c501f7f5"", ""artifact-46c5646af88af9df"", ""artifact-f308035c34e882f0"", ""artifact-fbaf54930c15ffd8""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L241
f,run-7c5877d4173e3624ced67105,m2-control-normal,neutral,3,True,True,"[""artifact-fb0cb415b1b34c59"", ""artifact-16042948c501f7f5"", ""artifact-46c5646af88af9df"", ""artifact-f308035c34e882f0"", ""artifact-fbaf54930c15ffd8""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L241
f,run-d482e3ee375c1f1ddb4c343f,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L242
f,run-d482e3ee375c1f1ddb4c343f,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L242
f,run-12d0b185267a9802545f1b89,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L243
f,run-12d0b185267a9802545f1b89,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L243
f,run-3265920d4d07ccae540ed749,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L244
f,run-3265920d4d07ccae540ed749,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L244
f,run-272cf513cec65388f4c9f210,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L245
f,run-272cf513cec65388f4c9f210,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L245
f,run-bb98053ed921b2a7848ccf4d,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L246
f,run-bb98053ed921b2a7848ccf4d,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L246
f,run-b85ab67f96ecede543288f0d,m2-control-normal,neutral,1,True,True,"[""artifact-bbd7c6de4c09fbab"", ""artifact-d4ea69ec520da370"", ""artifact-7d48455f86b85fd9"", ""artifact-57621fda369d0c01"", ""artifact-c0db0310a13af19a""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L247
f,run-b85ab67f96ecede543288f0d,m2-control-normal,neutral,3,True,True,"[""artifact-bbd7c6de4c09fbab"", ""artifact-d4ea69ec520da370"", ""artifact-7d48455f86b85fd9"", ""artifact-57621fda369d0c01"", ""artifact-c0db0310a13af19a""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L247
f,run-d9ff35be70f6d71b0b3e5d58,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L248
f,run-d9ff35be70f6d71b0b3e5d58,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L248
f,run-23cd86183b03953152319749,m2-control-normal,neutral,1,True,True,"[""artifact-a49f89ae6b364506"", ""artifact-0c165e4d1a41f11d"", ""artifact-8bce1ff2712972b2"", ""artifact-5b76e6a0af4b414a"", ""artifact-899c8aa3ba1a08a8""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L249
f,run-23cd86183b03953152319749,m2-control-normal,neutral,3,True,True,"[""artifact-a49f89ae6b364506"", ""artifact-0c165e4d1a41f11d"", ""artifact-8bce1ff2712972b2"", ""artifact-5b76e6a0af4b414a"", ""artifact-899c8aa3ba1a08a8""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L249
f,run-f0dd00227515173a1c001c7d,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L250
f,run-f0dd00227515173a1c001c7d,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L250
f,run-477c877425c42c2b485e29e2,m2-control-normal,neutral,1,True,True,"[""artifact-9c9c5428a557e1a8"", ""artifact-b17689900c3fc16c"", ""artifact-8ecf17726d9069fb"", ""artifact-53d4c602a1347f25"", ""artifact-ba7b04bdfe91c466""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L251
f,run-477c877425c42c2b485e29e2,m2-control-normal,neutral,3,True,True,"[""artifact-9c9c5428a557e1a8"", ""artifact-b17689900c3fc16c"", ""artifact-8ecf17726d9069fb"", ""artifact-53d4c602a1347f25"", ""artifact-ba7b04bdfe91c466""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L251
f,run-e1492296d0620959b03ce673,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L252
f,run-e1492296d0620959b03ce673,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L252
f,run-214f002eb5a38d91a2a6fd4c,m2-control-normal,neutral,1,True,True,"[""artifact-8325689ae58837fe"", ""artifact-9c0da119115293f9"", ""artifact-68243363c53644b6"", ""artifact-847d46b29e0123c0"", ""artifact-4d5de567be3973e1""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L253
f,run-214f002eb5a38d91a2a6fd4c,m2-control-normal,neutral,3,True,True,"[""artifact-8325689ae58837fe"", ""artifact-9c0da119115293f9"", ""artifact-68243363c53644b6"", ""artifact-847d46b29e0123c0"", ""artifact-4d5de567be3973e1""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L253
f,run-32c20d0f4ededc6cabdc3a67,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L254
