row_id,source_ref,source_sha256,contract,unit,boundary
A001,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L258,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A002,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L263,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A003,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L269,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A004,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L274,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A005,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L380,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A006,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L385,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A007,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L391,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A008,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L396,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A009,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L645,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A010,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L650,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
