view_id,masked_family,raw_metric,display_metric,protocol,horizon,relation,full_point_n,view_point_n,point_loss,point_to_bounded,point_to_unknown,point_to_na,eligibility_transition,query_denominator,mapping_basis,source_ref
V00,Full,UEA_count,UEA_count,actual_receipt_and_authorization,,control,1145,1145,0,0,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,TaskSuccess,TaskSuccess,mechanical_public_obligations,,control,1094,1094,0,0,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,E_STS,STS_target_contract,U_and_not_verified_contract_violation,,control,1107,1107,0,0,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,failure_taxonomy,failure_taxonomy,recorded_failure_types,,control,1145,1145,0,0,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,ALR,ALR,T11_explicit_reason,,control,41,41,0,0,0,0,"{""False->False"":1089,""None->None"":3,""True->True"":69}",1161,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,ALR,ALR,P3R_identity_guard,,control,46,46,0,0,0,0,"{""False->False"":1089,""None->None"":3,""True->True"":69}",1161,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,Provenance,Provenance,recorded_origin_prediction,,control,7472,7472,0,0,0,0,"{""True->True"":7472}",7472,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,HIAA_Y,HIAA_Y,scheduled_receipted_selector,,control,360,360,0,0,0,0,"{""True->True"":360}",360,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,UEA,UEA,actual_receipt_and_authorization,,control,2191,2191,0,0,0,0,"{""True->True"":2191}",2191,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,legacy_v2,1,control,61,61,0,0,0,0,"{""False->False"":84,""None->None"":1,""True->True"":61}",146,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,chain_v1,1,control,80,80,0,0,0,0,"{""False->False"":66,""True->True"":80}",146,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,confirmed_prefix_v1,1,control,0,0,0,0,0,0,"{""False->False"":66,""None->None"":80}",146,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,legacy_v2,3,control,50,50,0,0,0,0,"{""False->False"":77,""None->None"":1,""True->True"":50}",128,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,chain_v1,3,control,63,63,0,0,0,0,"{""False->False"":65,""True->True"":63}",128,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,RIR,RIR,confirmed_prefix_v1,3,control,0,0,0,0,0,0,"{""False->False"":65,""None->None"":63}",128,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,CI,CI,legacy_object_ablation,,control,593,593,0,0,0,0,"{""False->False"":217,""True->True"":593}",810,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,CI,CI,precise_control_semantics,,control,0,0,0,0,0,0,"{""False->False"":506,""None->None"":304}",810,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,HIAA_run,HIAA_run,scheduled,,control,6,6,0,0,0,0,"{""True->True"":6}",6,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,HIAA_run,HIAA_run,valid_only,,control,5,5,0,0,0,0,"{""False->False"":1,""True->True"":5}",6,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,HIAA_pot_observed,HIAA_pot_observed,legacy_observed_executed_union,,control,6,6,0,0,0,0,"{""True->True"":6}",6,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V00,Full,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,,control,6,6,0,0,0,0,"{""True->True"":7}",7,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl
V01,Receipt,UEA_count,UEA_count,actual_receipt_and_authorization,,downstream,1145,828,317,317,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,TaskSuccess,TaskSuccess,mechanical_public_obligations,,downstream,1094,807,287,0,287,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,E_STS,STS_target_contract,U_and_not_verified_contract_violation,,downstream,1107,655,452,0,452,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,failure_taxonomy,failure_taxonomy,recorded_failure_types,,downstream,1145,1145,0,0,0,0,"{""True->True"":1145}",1145,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,ALR,ALR,T11_explicit_reason,,downstream,41,28,13,0,13,0,"{""False->False"":1089,""None->None"":3,""True->True"":69}",1161,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,ALR,ALR,P3R_identity_guard,,downstream,46,35,11,0,11,0,"{""False->False"":1089,""None->None"":3,""True->True"":69}",1161,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,Provenance,Provenance,recorded_origin_prediction,,downstream,7472,7472,0,0,0,0,"{""True->True"":7472}",7472,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,HIAA_Y,HIAA_Y,scheduled_receipted_selector,,downstream,360,211,149,0,149,0,"{""True->True"":360}",360,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,UEA,UEA,actual_receipt_and_authorization,,downstream,2191,1858,333,0,333,0,"{""True->True"":2191}",2191,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,RIR,RIR,legacy_v2,1,downstream,61,35,26,0,26,0,"{""False->False"":84,""None->None"":1,""True->True"":61}",146,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
V01,Receipt,RIR,RIR,chain_v1,1,downstream,80,0,80,0,80,0,"{""False->False"":66,""True->None"":80}",146,"fixed named-family estimand map in code/common.py SELF; no standalone Receipt/Grant/reason estimator, those are downstream dependencies",论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl
