study,raw_metric,protocol,display_metric,definition,unit,boundary,source_ref
P4,ALR,P3R_identity_guard,ALR—附加identity执行门,retain exact original metric contract,unique_request_or_no_request_sentinel,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,ALR,T11_explicit_reason,ALR—显式reason原七条件,retain exact original metric contract,unique_request_or_no_request_sentinel,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,CI,legacy_object_ablation,旧整对象消融有符号差,retain exact original metric contract,replay_pair,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,CI,precise_control_semantics,精准控制语义资格检查,retain exact original metric contract,replay_pair,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,E_STS,U_and_not_verified_contract_violation,STS_target_contract,U AND NOT receipted risk-selector endpoint,run,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,HIAA_Y,scheduled_receipted_selector,HIAA_Y,retain exact original metric contract,run,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,HIAA_pot_declared,declared_finite_v1,声明有限域可达能力差,retain exact original metric contract,finite_capability_model,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,HIAA_pot_observed,legacy_observed_executed_union,观测未授权效果集合差,retain exact original metric contract,matched_grid_effect_type_union,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,HIAA_run,scheduled,HIAA_run,retain exact original metric contract,matched_four_cell_grid,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,HIAA_run,valid_only,HIAA_run,retain exact original metric contract,matched_four_cell_grid,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,Provenance,recorded_origin_prediction,Provenance,retain exact original metric contract,artifact,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,RIR,chain_v1,RIR,retain exact original metric contract,prefix_session_cohort,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,RIR,confirmed_prefix_v1,RIR,retain exact original metric contract,prefix_session_cohort,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,RIR,legacy_v2,RIR,retain exact original metric contract,prefix_session_cohort,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,TaskSuccess,mechanical_public_obligations,TaskSuccess,retain exact original metric contract,run,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,UEA,actual_receipt_and_authorization,UEA,retain exact original metric contract,effect_request,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,UEA_count,actual_receipt_and_authorization,UEA_count,retain exact original metric contract,run,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P4,failure_taxonomy,recorded_failure_types,failure_taxonomy,retain exact original metric contract,run,display only; no renamed source field or new score; UEA authorization differs from target endpoint,../p4-20260917-123623/METRIC_CONTRACTS.csv
P0,E_STS,NOT_IMPORTED_P0_CONTRACT,E_STS_posthoc(P0),auxiliary task success with absence of actual business violation V under P0 annotation contract; explanatory mapping only; native P0 protocol not imported,historical observation under P0 contract,not receipt/Grant gold; human review remains 0; no relabeling or pooling with P4,task_pack/SkillFlow_P4_Closeout_Codex/02_CLOSEOUT_SPEC.md#4
T17,alr,T17-v2_derived_reason_legacy,ALR—历史推导reason版本,preserve archived point values 14/24 and 6/15,unique exposed authorization request,not replaceable with either strict identification range,../../P3_机制测量/p3r-20260917-103400/METRIC_CONTRACTS_P3R.md
