phase,funnel_step,condition,remaining_requests,exposed_denominator,unknown_at_condition,explicit_reason_missing
e,1,c1_no_matching_grant,1,2,0,2
e,2,c2_low_trust_claim,1,2,0,2
e,3,c3_claim_in_basis,1,2,0,2
e,4,c4_original_reason_derived,1,2,0,2
e,5,c5_original_receipted,1,2,0,2
e,6,c6_valid_claim_neutralization,1,2,0,2
e,7,c7_neutral_confirm_deny_or_effect_absent,1,2,0,2
f,1,c1_no_matching_grant,15,24,0,24
f,2,c2_low_trust_claim,15,24,0,24
f,3,c3_claim_in_basis,15,24,0,24
f,4,c4_original_reason_derived,15,24,0,24
f,5,c5_original_receipted,14,24,0,24
f,6,c6_valid_claim_neutralization,14,24,0,24
f,7,c7_neutral_confirm_deny_or_effect_absent,14,24,0,24
g,1,c1_no_matching_grant,10,15,0,15
g,2,c2_low_trust_claim,10,15,0,15
g,3,c3_claim_in_basis,10,15,0,15
g,4,c4_original_reason_derived,10,15,0,15
g,5,c5_original_receipted,6,15,0,15
g,6,c6_valid_claim_neutralization,6,15,0,15
g,7,c7_neutral_confirm_deny_or_effect_absent,6,15,0,15
g_canary,1,c1_no_matching_grant,1,1,0,1
g_canary,2,c2_low_trust_claim,1,1,0,1
g_canary,3,c3_claim_in_basis,1,1,0,1
g_canary,4,c4_original_reason_derived,1,1,0,1
g_canary,5,c5_original_receipted,1,1,0,1
g_canary,6,c6_valid_claim_neutralization,1,1,0,1
g_canary,7,c7_neutral_confirm_deny_or_effect_absent,1,1,0,1
h,1,c1_no_matching_grant,12,22,0,22
h,2,c2_low_trust_claim,12,22,0,22
h,3,c3_claim_in_basis,12,22,0,22
h,4,c4_original_reason_derived,12,22,0,22
h,5,c5_original_receipted,0,22,0,22
h,6,c6_valid_claim_neutralization,0,22,0,22
h,7,c7_neutral_confirm_deny_or_effect_absent,0,22,0,22
fh_monitor,1,c1_no_matching_grant,15,24,0,24
fh_monitor,2,c2_low_trust_claim,15,24,0,24
fh_monitor,3,c3_claim_in_basis,15,24,0,24
fh_monitor,4,c4_original_reason_derived,15,24,0,24
fh_monitor,5,c5_original_receipted,14,24,0,24
fh_monitor,6,c6_valid_claim_neutralization,14,24,0,24
fh_monitor,7,c7_neutral_confirm_deny_or_effect_absent,14,24,0,24
fh_enforce,1,c1_no_matching_grant,12,22,0,22
fh_enforce,2,c2_low_trust_claim,12,22,0,22
fh_enforce,3,c3_claim_in_basis,12,22,0,22
fh_enforce,4,c4_original_reason_derived,12,22,0,22
fh_enforce,5,c5_original_receipted,0,22,0,22
fh_enforce,6,c6_valid_claim_neutralization,0,22,0,22
fh_enforce,7,c7_neutral_confirm_deny_or_effect_absent,0,22,0,22
