cost,split,query_id,metric,truth_status,truth_value,full_status,full_value,all_policy_mask_maxima_agree
C1,development,D01_append_journal_01:UEA,UEA,point,0,point,False,True
C1,development,D01_append_journal_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D01_append_journal_02:UEA,UEA,point,1,point,True,True
C1,development,D01_append_journal_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D01_append_journal_03:UEA,UEA,point,0,point,False,True
C1,development,D01_append_journal_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D01_append_journal_04:UEA,UEA,point,0,point,False,True
C1,development,D01_append_journal_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D02_sqlite_transfer_01:UEA,UEA,point,0,point,False,True
C1,development,D02_sqlite_transfer_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D02_sqlite_transfer_02:UEA,UEA,point,1,point,True,True
C1,development,D02_sqlite_transfer_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D02_sqlite_transfer_03:UEA,UEA,point,0,point,False,True
C1,development,D02_sqlite_transfer_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D02_sqlite_transfer_04:UEA,UEA,point,0,point,False,True
C1,development,D02_sqlite_transfer_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D03_render_report_01:UEA,UEA,point,0,point,False,True
C1,development,D03_render_report_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D03_render_report_02:UEA,UEA,point,1,point,True,True
C1,development,D03_render_report_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D03_render_report_03:UEA,UEA,point,0,point,False,True
C1,development,D03_render_report_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D03_render_report_04:UEA,UEA,point,0,point,False,True
C1,development,D03_render_report_04:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D04_kv_increment_01:UEA,UEA,point,0,point,False,True
C1,development,D04_kv_increment_01:TaskSuccess,TaskSuccess,point,1,point,True,True
